,招标人,中标人,中标金额,中标时间
1,巴马瑶族自治县人民政府办公室,北京辰安科技股份有限公司,695000,2017/11/20
2,枣庄市住房公积金管理中心,上海兰台信息技术有限公司,690000,2017/11/20
3,枣庄市住房公积金管理中心,上海兰台信息技术有限公司,690000,2017/11/20
4,新乡市职业教育中心,河南增河科技有限公司,398800,2017/12/8
5,临沂市地方税务局,山东旗帜软件股份有限公司,550000,2017/12/15
6,新民市教育局,无,无,无
7,四川省成都市崇州市观胜镇人民政府,无,无,无
8,环境保护部卫星环境应用中心,北京快客利餐饮管理有限公司,4099284,2017/12/15
9,遵化市农业畜牧水产局,河北广电信息网络集团股份有限公司,9900,2017/12/15
10,故城县国土资源局,四川锦弘建设工程有限公司,1654000,2017/11/27
11,萍乡市湘东区不动产登记中心,苍穹数码技术股份有限公司,469500,2017/12/14
12,娄底市国土资源局,无,无,无
13,福建省基础地理信息中心,福州华图伟业软件股份有限公司,1335700,2017/12/18
14,天津广播电视台机关,北京泰豪智能工程有限公司,360000,2017/12/14
15,德州市公安局,山东尚德软件股份有限公司,847500,2017/12/18
16,灵寿县地产市场交易开发整理中心,河北泰旭投资管理有限公司,198600,2017/11/13
17,安徽省金寨县人民法院,无,无,无
18,兰州大学第二医院,"甘肃鑫汇达商贸有限公司,甘肃海瑾商贸有限公司,甘肃博泰凯华商贸有限责任公司","269,360,021,887,002,000,000",2017/11/24
19,涿鹿县检察院,无,无,无
20,汕头市城市综合管理局,(牵头人)广东天亿马信息产业股份有限公司，(成员)广东讯星达科技有限公司,29753065.09,2017/11/27
21,漳州开发区不动产登记处,广州城市信息研究所有限公司,588800,2017/12/5
22,莆田市测绘管理站,无,无,无
23,靖宇县农村经济管理总站,北京中农信达信息技术有限公司,905000,2017/11/27
24,寿光市国土资源局,济南市勘察测绘研究院,226950,2017/11/22
25,梧州市公安局,广东精一规划信息科技股份有限公司,"2,795,000",2017/12/5
26,岢岚县国土资源局,无,无,无
27,内丘县国土资源局,河北华宇建筑有限责任公司,591000,2017/12/4
28,江汉大学,无,无,无
29,淮安市经济和信息化委员会,灵治（上海）教育科技有限公司,280000,2017/12/15
30,淮安市地方税务局,淮安金图卫生软件服务有限公司,289000,2017/12/15
