u,招标人,中标人,中标金额,中标时间
,牡丹江市公安局,未提及,68万元（人民币）,未提及
,山东省地质调查院,中国地质大学（武汉）,29.8万元,2017年11月21日
,福州大学,未提及,60万元人民币,2017年12月18日09:00
,济南槐荫工业园区管理委员会,山东正维勘察测绘有限公司,92360.00元,2017年11月21日
,厦门市文化馆,未提及,￥60万元（人民币,2017年12月28日
,千里马招标网的招标中心中,泰州天正房地产评估造价咨询有限公司,1200000.00元,未提及
,福州市马尾区“数字马尾”建设领导小组办公室,联誉信息股份有限公司,"89.28万元（人民币）
",2017年12月7日
,丰宁满族自治县水务局,邯郸市水利水电勘测设计研究院,730000.00元,2017/9/28
,埇桥区国土局技术服务站,上海双微导航技术有限公司,269900.00元,2017年11月17日
,重庆广播电视大学、重庆工商职业学院图书馆,未提供,"￥482,000.00元",未提供
,肇州县林业总站、畜牧兽医局、水产总站,未提供,未提供,2017年11月27日
,通渭县中医医院,南昌润卓贸易有限公司,297.6万元（人民币）,2017年12月7日
,江西省人大常委会办公厅,江西旭泰科技发展有限公司,48500.0元,2017年11月20日
,唐山市曹妃甸区住房和城乡建设管理局,未提供,未提供,未提供
,苍南县国土资源局,浙江测绘科技有限公司,"7,498,800元",2018/1/5
,玉树市不动产登记服务中心,苍穹数码技术股份有限公司,人民币7.95万元整,2017年11月22日
,平南县不动产登记中心,广西秀山水勘测设计有限公司武大吉奥信息技术有限公司（联合体）,"￥3,238,000.00",2017年11月16日
,常熟市公安局,未提供,未提供,未提供
,石家庄市国土资源局,未提供,未提供,未提供
,未提供,未提供,未提供,未提供
,未提供,未提供,未提供,未提供
,盐津县文化体育广播电视和旅游局,四川省川英电力工程有限公司,1053000.00元（人民币）,2017年12月12日
,东莞市时间数字传媒发展有限公司,深圳市铱丰科技有限公司,人民币173.8万元,2018年1月4日
,邹城市城市管理行政执法局,邹城市城市管理行政执法局数字化城市管理系统技术服务及信息采集服务采购公开招标项目中标公告,208.9468万元（人民币）,2017年11月16日
,未提供,未提供,未提供,未提供
,平山县国土资源局,河北博赛测绘科技有限公司,"292,800元人民币",2017年10月25日
,黄骅市教育局,黄骅市宏宝佳业电子设备有限公司,31.97万元（人民币）,2017年11月29日
,寿光市国土资源局,济南市勘察测绘研究院,226950元,2017年度全市土地变更调查与遥感监测及其相关工作
,福建省政府采购网注册会员,未提供,"600,000元人民币",2017年12月18日09:00
