Unnamed: 0,招标人,中标人,中标金额,中标时间
1,甘肃省金昌市人民检察院,甘肃安数信息科技有限公司,61.98万元,43063.0
2,河北省御道口牧场,,,
3,宣化区交通安全协调管理站,,,
4,福建省长泰县国土资源局,广州城市信息研究所有限公司,152万元,43061.0
5,抚州市阳光招标咨询有限公司,,,
6,淮南市交警支队,,,
7,柳河县农村经济管理局,,,
8,牡丹江市公共资源交易中心,中国电信集团系统集成有限责任公司,24.85万元,43056.0
9,华南农业大学,,,
10,广州市从化区市政工程建设管理中心,广东省地质物探工程勘察院,,42787.0
11,北京市八宝山人民公墓,,,
12,南宁市政府集中采购中心,,,
13,荣成市石岛管理区城乡建设局,山东威远图测绘技术有限公司,51万元,42935.0
14,广州市南沙区人力资源和社会保障局,广州红海瀚洋人力资源有限公司,50.68万元,43055.0
15,国土资源局机关,江苏普蓝陵信息系统监理咨询有限公司,98.88万元,43061.0
16,肇庆市人力资源和社会保障局,三盟科技股份有限公司,392.33万元,43060.0
17,开阳县国土资源局,苍穹数码技术股份有限公司,59.9万元,43060.0
18,江西省水文局,,,
19,涿州市城市管理行政执法局,,,
20,山东省国土测绘院,山东省圣达地理信息测绘工程有限公司,337万元,43068.0
21,宿迁市国土资源局,,,
22,巴彦淖尔市水政监察直属大队,巴彦淖尔市立亚东科技发展有限公司,130.87万元,43062.0
23,日照市技师学院,,,
24,隆尧县国土资源局,,,
25,宁波市公安局交通警察局,,,
26,衡水市环境保护局,,,
27,润州区实验小学,江苏怡通数码科技有限公司,136.82万元,43070.0
28,巴马瑶族自治县农村经济经营管理局,,,
29,揭西县金和镇人民政府,深圳市爱华勘测工程有限公司,128万元,43070.0
30,广东省珠海航道局香洲航标与测绘所,,,
