u,招标人,中标人,中标金额（单位：元）,中标时间
,福建医科大学附属第一医院委托,,500000,
,十堰市茅箭区人民政府政务服务中心,湖北国源勘测规划设计有限公司,112000,2017年12月5日
,威海市文登区文登营镇人民政府,乳山海渊地质工程咨询有限公司，上海千年城市规划工程设计股份有限公司,215000,2017年12月5日
,保定学院,,1350000,2017年12月29日
,丰顺县国土资源局,广州建通测绘地理信息技术股份有限公司,5000000,2017年12月5日
,玉溪市国土资源局,广东南方数码科技股份有限公司,150000,2017年11月21日
,宁海县政府采购中心,宁波腾翔信息系统工程有限公司,1868809,2017年12月5日
,江苏省政府采购中心,南京某科技有限公司,1000000,2022年4月1日
,延安市急救指挥中心,陕西北斗金控信息服务有限公司,595000,2017年11月17日
,中国银行,某建筑公司,3000000000,2019年5月31日
,深圳市龙岗区政府采购中心,深圳市水务科技发展有限公司,730000,2017年11月21日
,迁安市扣庄乡人民政府,迁安市诚信建业有限公司,2396167,2017年11月21日
,焦作市职业技术学校,焦作市鑫蕾科技有限公司,646000,2017年11月17日
,福建省福瑞工程招标有限公司,莆田市农业局,3400000,2017年11月28日
,滦县城乡规划局,,,
,夏河县国土资源局,,754600,2017年12月21日
,北京邮电大学,北京扮客信息技术有限公司,858000,2017年11月22日
,太和县国土资源局,,,
,四川省水文水资源勘测局,,,
,,福建医科大学附属第一医院,1900000,
,宁海县政府采购中心/宁海县长街中心卫生院,宁波腾翔信息系统工程有限公司,1868809,2017年12月5日
,常州市政府采购中心,,,
,绍兴市公安局,安徽瑞信软件有限公司,1378000,2017年11月28日
,东昌府区闫寺街道办事处,山东大德永和工程咨询有限公司,"514,312.73",
,朝阳市发展和改革委员会,联通系统集成有限公司和西安未来国际信息股份有限公司联合体,"40,112,745",2017年11月28日
,济南市长清区扬尘在线监测和视频监控综合监管平台,浪潮软件集团有限公司,210000,
,新乐市城乡规划局,,,
,西华县农牧局,河南省寰宇信息技术股份有限公司,133800,2017年10月30日
,四川省乐山市乐山市精神病医院,,996840,
,宁阳县中医院,济南雅纳信息科技有限公司,11900000,2017年11月23日
