Unnamed: 0,招标人,中标人,中标金额,中标时间
1,四川省内江市市中区人民政府政务服务中心,四川弘智远大科技有限公司,567000,2017-12-1220:10
2,国家测绘地理信息局卫星测绘应用中心,中钢招标有限责任公司,,98.1042万元2017-12-11
3,四川省遂宁市中心医院病案数字化项目服务,,850000,2017-12-0413:30
4,巴林左旗文化广电体育局,北京超星数图信息技术有限公司,996000,2017-12-14 00:00:00
5,桐城市不动产登记数据整合项目,苍穹数码技术股份有限公司,3970000万,2017-12-07 00:00:00
6,应急监控卫星定位安全服务专线项目,宁德市交通运输局,588000,2017-12-19 00:00:00
7,深圳市不动产登记中心龙岗登记所办公室外墙防水修缮工程项目,深圳市不动产登记中心,86.26717万,2017-12-05 00:00:00
8,南昌铁路看守所网络高清数字监控系统竞争性谈判采购项目,：江苏省淮安市保安服务总公司,116.0万,2017-11-22 00:00:00
9,广宁县农业局农村土地承包经营权确权登记颁证工作数据库建设项目,广宁县农业局,991000,2017-11-15 00:00:00
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
